run_id,flow_type,control_type,generated,delivered,dropped,pdr,delay_mean_ms,delay_p95_ms,jitter_ms,throughput_bps,generated_bps,qos_score
ugv_fcfs,1,MOTION_START,6,6,0,1,4.49579,8.54664,1.51568,0,0,1
ugv_fcfs,1,HEARTBEAT,38908,26144,5432,0.671944,6.62294,6.83622,6.1893,0,0,0.853655
ugv_fcfs,1,DEPLOYMENT_ACK,79,71,3,0.898734,0.998871,5.65886,1.53256,0,0,0.973018
ugv_fcfs,1,RESPAWN_COMPLETED,21,10,1,0.47619,1.54078,5.27958,2.329,0.15852,0.332891,0.750627
ugv_fcfs,0,SEARCH_TELEMETRY,3809,672,2198,0.176424,8005.59,37493.9,5220.84,63.468,354.361,0.102265
ugv_fcfs,1,DEPLOYMENT_CMD,90,90,38,1,264.176,2494.46,417.582,3.1717,3.1717,0.751069
ugv_fcfs,1,CHARGE_REQUEST,137,126,55,0.919708,6984.24,38524.8,11522.2,0,0,0.493516
ugv_fcfs,1,EMERGENCY_RECOVERY_COMPLETE,921,341,89,0.37025,1.5164,5.70134,1.30543,7.99443,21.3212,0.694868
ugv_fcfs,1,ACK,127,127,0,1,2.98084,6.67509,2.12246,1.86806,1.86806,1
ugv_fcfs,1,STATUS_CH,3106,2567,392,0.826465,4.6829,4.76922,7.80001,55.5892,67.9293,0.934982
ugv_fcfs,1,EMERGENCY_RETURN_TRIGGERED,921,331,92,0.359392,1.69917,6.31767,1.79982,3.6776,10.2328,0.689154
ugv_fcfs,1,FAILURE_EVENT,21,10,0,0.47619,2.20758,5.85795,2.56369,0.331836,0.698485,0.750627
ugv_fcfs,1,CHARGE_DECISION,95,91,16,0.957895,491.479,2513.65,931.68,11.0187,11.5024,0.632814
ugv_fcfs,1,TASK_RELEASE,9,9,2,1,536.314,2406.45,601.994,1.38481,1.38481,0.628486
